"Company","Role","Location","Application/Link","Date Posted"
"**[Zoox](https://simplify.jobs/c/Zoox)**","Perception Intern","San Mateo, CA","<a href="https://jobs.lever.co/zoox/879af812-dd13-4113-99b9-91b9ad038fd8/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/1bd68e90-dac9-441c-8771-5476133bd21d?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"**[Wisk](https://simplify.jobs/c/wisk-aero)**","Software Development Intern / Stagiaire en développement de logiciels","Montreal, QC, Canada","<a href="https://jobs.lever.co/wisk/65d5c693-9701-4d64-be58-dde85cb2cc03/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/b6993be6-b455-448e-b240-421054b25354?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"↳","Software Intern","Mountain View, CA","<a href="https://jobs.lever.co/wisk/5cfc99ef-2e2c-4923-8843-5cccb75549ef/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/7bef5785-ef48-495f-a701-b8e1046f1d40?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"↳","Information Technology Intern","Mountain View, CA","<a href="https://jobs.lever.co/wisk/d9a2231b-7e84-4742-a2c4-35b5023a32c0/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/460f6e00-98a2-4318-95b7-097d67082bf5?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"↳","BMS Software Engineering Intern","Mountain View, CA","<a href="https://jobs.lever.co/wisk/d96c8ba0-eb19-4315-84d9-bca06d2ea175/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/efc1378d-f617-44bb-8f17-b9bd1ca821c4?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"**[Uniswap](https://simplify.jobs/c/Uniswap)**","Security Engineer Intern","NYC","<a href="https://boards.greenhouse.io/uniswaplabs/jobs/4357289005?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/dfce8df0-4570-4fea-a3fc-a64a589c2440?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"**[Olo](https://simplify.jobs/c/Olo)**","Data Science Intern","Remote in USA","<a href="https://jobs.lever.co/olo/1a2f44f2-95d8-42fc-8d11-01e8aa5dd0e8/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/8756bed0-f260-4306-9780-b473397c0e48?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"**[Intel](https://simplify.jobs/c/Intel)**","Research Scientist Intern","Hillsboro, OR","<a href="https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Oregon-Hillsboro/Research-Scientist-Intern_JR0258565?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/8a7d307f-11f1-47d4-9a8c-508dbd7bdd0c?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"↳","Soc Debug Engineer – Undergraduate Intern","Marlborough, MA</br>Santa Clara, CA","<a href="https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Massachusetts-Hudson/SoC-Debug-Engineer---Undergraduate-Intern_JR0258194?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/f39cef6a-50b0-411b-a5aa-d360a1aa41f1?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"↳","Intern – AI Software Development Engineer","Santa Clara, CA</br>Hillsboro, OR</br>Folsom, CA","<a href="https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-California-Folsom/Intern---AI-Software-Development-Engineer_JR0258460?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/c8eb6c6c-c96c-4194-be8e-c13b45ee3324?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"↳","Software Engineer – Undergraduate Intern","<details><summary>**4 locations**</summary>Santa Clara, CA</br>Hillsboro, OR</br>Folsom, CA</br>Phoenix, AZ</details>","<a href="https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Oregon-Hillsboro/Software-Engineer---Undergraduate-Intern_JR0258343?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/b46aaa26-3a78-4820-85d6-883c48e5e8ab?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"**[Ascend Analytics](https://simplify.jobs/c/AscendAnalytics)**","Energy Analyst Intern - Summer 2024","Boulder, CO","<a href="https://boards.greenhouse.io/ascendanalytics/jobs/4371525005?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/42a7a1a0-4cfc-4c8e-baaf-049e0189eee9?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"**[Alcon](https://simplify.jobs/c/alcon)**","Summer 2024 – Information Technology Intern","Fort Worth, TX","<a href="https://alcon.wd5.myworkdayjobs.com/careers_alcon/job/Fort-Worth-Texas/Summer-2024---Information-Technology-Intern_R-2024-30762?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/46174fc1-218c-48d6-9878-4e8216e9aa7b?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 16"
"**[Wisk](https://simplify.jobs/c/wisk-aero)**","Software Development Intern","Mountain View, CA","<a href="https://jobs.lever.co/wisk/baae7c7b-8b59-4de1-9f2e-be9c4f4fc915/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/19076e32-156b-44f4-ba14-428a812eccd7?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
